,sentID.BTEC,split,lang,sent,sent_kuwaiti_GPT_Translated,sent_kuwaiti,Type (B/H),Translator Initials,sent_kuwaiti_punctuation_removed,sent_punctuation_removed,sent_kuwaiti_punctuation_removed_and_tashkeel,sent_punctuation_removed_and_tashkeel,sent_kuwaiti_punctuation_removed_and_tashkeel_and_normlaized,sent_punctuation_removed_and_tashkeel_and_normlaized
0,0,corpus-6-train,MSA,إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني .,هي بنهاية القاعة. بجيب لك شوية منها الحين. إذا تبي أي شي ثاني بس علمني.,تلقاها في آخر القاعة. راح اييب لك شوية منها الحين. إذا تبي أي شي ثاني بس علمني.,H,H,تلقاها في آخر القاعة راح اييب لك شوية منها الحين إذا تبي أي شي ثاني بس علمني,إنها في أخر القاعة  سوف آتي لك ببعض منها الآن  إذا أردت أي شيئا آخر فقط أعلمني ,تلقاها في آخر القاعة راح اييب لك شوية منها الحين إذا تبي أي شي ثاني بس علمني,إنها في أخر القاعة  سوف آتي لك ببعض منها الآن  إذا أردت أي شيئا آخر فقط أعلمني ,تلقاها في اخر القاعه راح اييب لك شويه منها الحين اذا تبي اي شي ثاني بس علمني,انها في اخر القاعه  سوف اتي لك ببعض منها الان  اذا اردت اي شيءا اخر فقط اعلمني 
1,2,corpus-6-train,MSA,هل تقومون بعمل تعديلات ؟,تسوون تعديلات؟,تسوون تعديلات؟,H,H,تسوون تعديلات,هل تقومون بعمل تعديلات ,تسوون تعديلات,هل تقومون بعمل تعديلات ,تسوون تعديلات,هل تقومون بعمل تعديلات 
2,4,corpus-6-train,MSA,نريد مائدة بجانب النافذة .,نبي طاولة يم النافذة.,نبي طاولة يم الدريشة.,H,H,نبي طاولة يم الدريشة,نريد مائدة بجانب النافذة ,نبي طاولة يم الدريشة,نريد مائدة بجانب النافذة ,نبي طاوله يم الدريشه,نريد ماءده بجانب النافذه 
3,5,corpus-6-test-corpus-26-train,MSA,هناك ، أمام بيانات السائح تماما .,هناك، جدام بيانات السايح تمامًا.,هناك، جدام بيانات السايح.,H,H,هناك جدام بيانات السايح,هناك  أمام بيانات السائح تماما ,هناك جدام بيانات السايح,هناك  أمام بيانات السائح تماما ,هناك جدام بيانات السايح,هناك  امام بيانات الساءح تماما 
4,9,corpus-6-test-corpus-26-train,MSA,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,ما سمعت بهالعنوان من قبل قريب من هني.,ما سمعت بهالعنوان من قبل قريب من هني.,H,H,ما سمعت بهالعنوان من قبل قريب من هني,لم اسمع بهذا العنوان من قبل بالقرب من هنا ,ما سمعت بهالعنوان من قبل قريب من هني,لم اسمع بهذا العنوان من قبل بالقرب من هنا ,ما سمعت بهالعنوان من قبل قريب من هني,لم اسمع بهذا العنوان من قبل بالقرب من هنا 
5,11,corpus-6-test-corpus-26-train,MSA,استمر في السير في هذا الطريق حتى تجد صيدلية .,كمل تمشي بهالطريج لين تلقى صيدلية.,كمل سيدا امشي بهالطريج لين تلقى صيدلية.,H,H,كمل سيدا امشي بهالطريج لين تلقى صيدلية,استمر في السير في هذا الطريق حتى تجد صيدلية ,كمل سيدا امشي بهالطريج لين تلقى صيدلية,استمر في السير في هذا الطريق حتى تجد صيدلية ,كمل سيدا امشي بهالطريج لين تلقا صيدليه,استمر في السير في هذا الطريق حتا تجد صيدليه 
6,12,corpus-6-train,MSA,ما هو أحدث لون هذا الموسم .,شنو آخر لون نازل هالموسم؟,شنو آخر لون نازل هالموسم؟,H,H,شنو آخر لون نازل هالموسم,ما هو أحدث لون هذا الموسم ,شنو آخر لون نازل هالموسم,ما هو أحدث لون هذا الموسم ,شنو اخر لون نازل هالموسم,ما هو احدث لون هذا الموسم 
7,14,corpus-6-train,MSA,في حالتي ، غالباً ما يكون من أجل العمل ونادراً ما يكون للاستمتاع .,بحالتي، غالبًا يكون للشغل ونادرًا ما يكون للمتعة.,بحالتي، غالبًا يكون للشغل ونادرًا ما يكون للمتعة.,H,H,بحالتي غالبا يكون للشغل ونادرا ما يكون للمتعة,في حالتي  غالبا ما يكون من أجل العمل ونادرا ما يكون للاستمتاع ,بحالتي غالبا يكون للشغل ونادرا ما يكون للمتعة,في حالتي  غالبا ما يكون من أجل العمل ونادرا ما يكون للاستمتاع ,بحالتي غالبا يكون للشغل ونادرا ما يكون للمتعه,في حالتي  غالبا ما يكون من اجل العمل ونادرا ما يكون للاستمتاع 
8,15,corpus-6-train,MSA,سأقيم لمدة يومين .,بقعد يومين.,بقعد يومين.,H,H,بقعد يومين,سأقيم لمدة يومين ,بقعد يومين,سأقيم لمدة يومين ,بقعد يومين,ساقيم لمده يومين 
9,16,corpus-6-train,MSA,أريد تمويج متقارب بشعري,أبي شعري يكون فيه تمويج قريب.,أبي شعري يكون فيه تمويج قريب.,H,H,أبي شعري يكون فيه تمويج قريب,أريد تمويج متقارب بشعري,أبي شعري يكون فيه تمويج قريب,أريد تمويج متقارب بشعري,ابي شعري يكون فيه تمويج قريب,اريد تمويج متقارب بشعري
10,17,corpus-6-train,MSA,أريد حجز غرفتين مزدوجتين .,أبي أحجز غرفتين مزدوجتين.,أبي أحجز غرفتين مزدوجتين.,H,H,أبي أحجز غرفتين مزدوجتين,أريد حجز غرفتين مزدوجتين ,أبي أحجز غرفتين مزدوجتين,أريد حجز غرفتين مزدوجتين ,ابي احجز غرفتين مزدوجتين,اريد حجز غرفتين مزدوجتين 
11,18,corpus-6-train,MSA,لا أريد إزالتها .,ما أبي أشيلها.,ما أبي أشيلها.,H,H,ما أبي أشيلها,لا أريد إزالتها ,ما أبي أشيلها,لا أريد إزالتها ,ما ابي اشيلها,لا اريد ازالتها 
12,19,corpus-6-train,MSA,هل هذه الحافلة تتوقف في شارع أستونر ؟,هل الباص يوقف بشارع أستونر؟,الباص يوقف بشارع البلاجات؟,H,H,الباص يوقف بشارع البلاجات,هل هذه الحافلة تتوقف في شارع أستونر ,الباص يوقف بشارع البلاجات,هل هذه الحافلة تتوقف في شارع أستونر ,الباص يوقف بشارع البلاجات,هل هذه الحافله تتوقف في شارع استونر 
